best_lb.0,time
313233.0,0.1
313376.0,0.2
313520.0,0.3
313665.0,0.4
313812.0,0.5
313971.0,0.6
314130.0,0.7
314289.0,0.8
314452.0,0.9
314621.0,1
314795.0,1.1
314977.0,1.2
315160.0,1.3
315344.0,1.4
315528.0,1.5
315737.0,1.6
315793.0,1.7
315601.0,1.8
315417.0,1.9
315233.0,2
315050.0,2.1
314868.0,2.2
314694.0,2.3
314525.0,2.4
314362.0,2.5
314203.0,2.6
314044.0,2.7
313885.0,2.8
313738.0,2.9
313593.0,3
313449.0,3.1
313306.0,3.2
313166.0,3.3
313030.0,3.4
312896.0,3.5
312763.0,3.6
312630.0,3.7
312498.0,3.8
312366.0,3.9
312237.0,4
312110.0,4.1
311983.0,4.2
311859.0,4.3
311737.0,4.4
311618.0,4.5
311503.0,4.6
311391.0,4.7
311282.0,4.8
311175.0,4.9
311069.0,5
310964.0,5.1
310864.0,5.2
310769.0,5.3
310674.0,5.4
310585.0,5.5
310502.0,5.6
310420.0,5.7
310339.0,5.8
310269.0,5.9
310199.0,6
310130.0,6.1
310061.0,6.2
309994.0,6.3
309927.0,6.4
309866.0,6.5
309806.0,6.6
309753.0,6.7
309700.0,6.8
309648.0,6.9
309598.0,7
309548.0,7.1
309501.0,7.2
309455.0,7.3
309409.0,7.4
309409.0,7.5
309414.0,7.6
309460.0,7.7
309506.0,7.8
309553.0,7.9
309603.0,8
309653.0,8.1
309705.0,8.2
309758.0,8.3
309811.0,8.4
309871.0,8.5
309932.0,8.6
309999.0,8.7
310066.0,8.8
310135.0,8.9
310204.0,9
310274.0,9.1
310344.0,9.2
310425.0,9.3
310507.0,9.4
310590.0,9.5
310679.0,9.6
310774.0,9.7
310869.0,9.8
310969.0,9.9
311074.0,10
311180.0,10.1
311287.0,10.2
311396.0,10.3
311508.0,10.4
311623.0,10.5
311742.0,10.6
311864.0,10.7
311988.0,10.8
312115.0,10.9
312242.0,11
312371.0,11.1
312503.0,11.2
312635.0,11.3
312768.0,11.4
312901.0,11.5
313035.0,11.6
313171.0,11.7
313311.0,11.8
313454.0,11.9
313598.0,12
313743.0,12.1
313890.0,12.2
314017.0,12.3
313870.0,12.4
313865.0,12.5
313733.0,12.6
313588.0,12.7
313444.0,12.8
313301.0,12.9
313161.0,13
313025.0,13.1
312891.0,13.2
312758.0,13.3
312625.0,13.4
312493.0,13.5
312364.0,13.6
312237.0,13.7
312110.0,13.8
311983.0,13.9
311859.0,14
311737.0,14.1
311618.0,14.2
311503.0,14.3
311391.0,14.4
311282.0,14.5
311175.0,14.6
311069.0,14.7
310964.0,14.8
310864.0,14.9
310769.0,15
310674.0,15.1
310585.0,15.2
310502.0,15.3
310420.0,15.4
310339.0,15.5
310269.0,15.6
310199.0,15.7
310130.0,15.8
310061.0,15.9
309994.0,16
