best_lb,time_domain
  173479.0,0.50
  172941.0,0.75
  172499.0,1.00
  172042.0,1.25
  171682.0,1.49
  171357.0,1.73
  171045.0,1.98
  170729.0,2.22
  170452.0,2.46
  170082.0,2.71
  169755.0,2.99
  169453.0,3.30
  169188.0,3.63
  168951.0,3.96
  168728.0,4.31
  168508.0,4.69
  168290.0,5.08
  168079.0,5.46
  167874.0,5.83
  167677.0,6.18
  167484.0,6.52
  167294.0,6.87
  166996.0,7.21
  166820.0,7.55
  166654.0,7.89
  166490.0,8.23
  166327.0,8.57
  166169.0,8.90
  166017.0,9.24
  165662.0,9.58
  165513.0,9.93
  165366.0,10.28
  165117.0,10.62
  164978.0,10.96
  164845.0,11.31
  164712.0,11.66
  164581.0,12.02
  164451.0,12.37
  164331.0,12.74
  164212.0,13.12
  164095.0,13.50
  163980.0,13.87
  163866.0,14.24
  163753.0,14.61
  163591.0,14.97
  163478.0,15.32
  163365.0,15.67
  163255.0,16.03
  163146.0,16.39
  163039.0,16.76
  162936.0,17.12
  162835.0,17.47
  162732.0,17.83
  162636.0,18.18
  162500.0,18.53
  162405.0,18.88
  162310.0,19.23
  162215.0,19.59
  162124.0,19.95
  162033.0,20.30
  161943.0,20.64
  161855.0,20.99
  161767.0,21.34
  161683.0,21.69
  161573.0,22.04
  161493.0,22.39
  161389.0,22.75
  161309.0,23.11
  161229.0,23.48
  161150.0,23.85
  160962.0,24.23
  160884.0,24.59
  160806.0,24.94
  160715.0,25.30
  160536.0,25.65
  160422.0,26.00
  160255.0,26.34
  160167.0,26.69
  160082.0,27.04
  159963.0,27.39
  159883.0,27.73
  159798.0,28.09
  159720.0,28.44
  159642.0,28.79
  159564.0,29.14
  159486.0,29.50
  159410.0,29.86
  159335.0,30.23
  159256.0,30.58
  159181.0,30.93
  159107.0,31.28
  159033.0,31.64
  158959.0,32.01
  158885.0,32.38
  158805.0,32.74
  158721.0,33.11
  158647.0,33.50
  158574.0,33.93
  158496.0,34.36
  158406.0,34.81
  158333.0,35.29
  158260.0,35.78
  158187.0,36.27
  158115.0,36.77
  158041.0,37.29
  157864.0,37.85
  157779.0,38.32
  157647.0,38.77
  157575.0,39.24
  157504.0,39.77
  157434.0,40.35
  157365.0,40.95
  157297.0,41.54
  157220.0,42.28
  157152.0,42.86
  157084.0,43.51
  157017.0,44.13
  156951.0,44.90
  156885.0,45.65
  156819.0,46.53
  156734.0,47.16
  156669.0,47.82
  156572.0,48.50
  156507.0,49.10
  156442.0,49.74
  156377.0,50.34
  156313.0,50.91
  156249.0,51.47
  156186.0,51.96
  156123.0,52.44
  156061.0,52.89
  155999.0,53.34
  155937.0,53.79
  155876.0,54.27
  155795.0,54.77
  155722.0,55.34
  155661.0,56.08
  155601.0,56.85
  155541.0,57.66
  155473.0,58.51
  155406.0,59.20
  155346.0,59.95
  155286.0,60.67
  155227.0,61.39
  155168.0,62.07
  155076.0,62.70
  155018.0,63.51
  154961.0,64.24
  154905.0,65.03
  154849.0,65.64
  154793.0,66.30
  154738.0,67.15
  154678.0,67.91
  154623.0,68.51
  154568.0,69.01
  154513.0,69.59
  154459.0,70.14
  154405.0,70.66
  154291.0,71.14
  154237.0,71.60
  154183.0,72.04
  154130.0,72.50
  154078.0,72.97
  154026.0,73.43
  153976.0,73.91
  153926.0,74.42
  153856.0,74.92
  153789.0,75.35
  153739.0,75.81
  153689.0,76.33
  153623.0,76.92
  153573.0,77.73
  153524.0,78.78
  153469.0,79.78
  153413.0,80.77
  153364.0,81.63
  153315.0,82.49
  153266.0,83.31
  153218.0,84.27
  153160.0,85.18
  153112.0,86.07
  153064.0,86.96
  153016.0,87.77
  152946.0,88.65
  152898.0,89.30
  152850.0,89.95
  152802.0,90.66
  152754.0,91.35
  152707.0,92.07
  152660.0,92.65
  152613.0,93.24
  152567.0,93.74
  152521.0,94.15
  152475.0,94.52
  152399.0,94.86
  152341.0,95.21
  152268.0,95.55
  152218.0,95.89
  152155.0,96.23
  152109.0,96.56
  152064.0,96.90
  152019.0,97.24
  151974.0,97.58
  151930.0,97.93
  151886.0,98.27
  151843.0,98.61
  151800.0,98.95
  151757.0,99.28
  151714.0,99.62
  151671.0,99.97
  151629.0,100.31
  151587.0,100.65
  151536.0,100.99
  151478.0,101.33
  151424.0,101.67
  151382.0,102.02
  151329.0,102.36
  151288.0,102.69
  151240.0,103.02
  151198.0,103.36
  151157.0,103.69
  151116.0,104.02
  151076.0,104.36
  151036.0,104.71
  150996.0,105.08
  150957.0,105.44
  150918.0,105.79
  150879.0,106.13
  150816.0,106.47
  150777.0,106.81
  150738.0,107.15
  150701.0,107.49
  150664.0,107.84
  150627.0,108.19
  150590.0,108.54
  150553.0,108.90
  150517.0,109.24
  150481.0,109.59
  150445.0,109.93
  150409.0,110.27
  150373.0,110.61
  150337.0,110.95
  150301.0,111.29
  150266.0,111.64
  150226.0,111.98
  150191.0,112.31
  150156.0,112.65
  150121.0,113.00
  150087.0,113.34
  150053.0,113.72
  150019.0,114.25
  149900.0,114.70
  149866.0,115.09
  149833.0,115.45
  149800.0,115.94
  149767.0,116.53
  149735.0,116.99
  149693.0,117.47
  149641.0,117.95
  149609.0,118.60
  149577.0,119.41
  149545.0,119.99
  149513.0,120.60
  149482.0,121.16
  149451.0,121.72
  149420.0,122.21
  149389.0,122.64
  149358.0,123.07
  149327.0,123.60
  149296.0,124.09
  149265.0,124.55
  149222.0,124.99
  149191.0,125.39
  149161.0,125.79
  149132.0,126.21
  149085.0,126.69
  149056.0,127.16
  149027.0,127.58
  149000.0,127.97
  148973.0,128.35
  148946.0,128.74
  148919.0,129.10
  148892.0,129.48
  148866.0,129.84
  148840.0,130.19
  148814.0,130.53
  148788.0,130.91
  148755.0,131.30
  148720.0,131.67
  148694.0,132.03
  148669.0,132.42
  148644.0,132.81
  148619.0,133.17
  148594.0,133.53
  148554.0,133.90
  148530.0,134.30
  148506.0,134.79
  148483.0,135.26
  148460.0,135.67
  148437.0,136.05
  148414.0,136.42
  148391.0,136.79
  148368.0,137.15
  148320.0,137.50
